Epoch,Train_Loss,Validation_Loss,Dice_Metric,Hausdorff_Metric,Epoch_Duration
1,0.9902797238068162,0.9292873066703026,0.06575548543917911,40.69949479291129,6930 milliseconds
2,0.9176953893725814,0.9202500771482062,0.15027663341212938,20.275731123660595,4174 milliseconds
3,0.9094978645036818,0.8887378559235751,0.1444476011760335,22.932968258841292,2709 milliseconds
4,0.8891672159111118,0.8636461362059675,0.151290636648399,21.90631252412785,2690 milliseconds
5,0.8484221722879928,0.8412175113176424,0.16930820271753053,19.57974296208188,2899 milliseconds
6,0.8323619806335909,0.8287078498499033,0.17167996792148352,18.935375738369558,2703 milliseconds
7,0.8233921123762877,0.8218160468643765,0.1702168364744852,18.01686873832968,2659 milliseconds
8,0.8189148421649134,0.8184746565143888,0.16102371805990137,17.677335592674144,3049 milliseconds
9,0.8172285967466599,0.8166631728320682,0.15358100327159924,16.90899200581658,2721 milliseconds
10,0.8117814612360619,0.808641820808781,0.17863679358060786,20.49191006587426,2900 milliseconds
11,0.8064877190128716,0.8292643145798998,0.15708265250906037,25.799186354932186,2837 milliseconds
12,0.8076114732084093,0.8107587990348627,0.1607363064680674,16.98194124909454,2701 milliseconds
13,0.8209176739742745,0.8783416498174198,0.11010833372814566,28.21400799337274,2945 milliseconds
14,0.8813359126872197,0.8779302976069694,0.10954555796378714,27.688441291998412,2675 milliseconds
15,0.8365967203908202,0.8111556360873031,0.15692455766541882,16.099647199345235,3064 milliseconds
16,0.805942353849777,0.8178456902336856,0.17003172817548612,25.995204595732424,2712 milliseconds
17,0.8113218546948138,0.8050298626758163,0.18213150022674834,18.359550152199446,2721 milliseconds
18,0.8056525762329776,0.8049444261624865,0.1810739549979436,25.060831033065377,2863 milliseconds
19,0.8333594847648294,0.874806068895268,0.11418810535822624,27.987830856455567,2730 milliseconds
20,0.8357612597060586,0.8031894255785312,0.17564857308522488,17.218773105283212,2721 milliseconds
21,0.8283584339784105,0.8084211546002148,0.17635554085437827,26.83331745505982,2735 milliseconds
22,0.893953074841966,0.9560454664148125,0.040124885626901544,33.88762600886667,3061 milliseconds
23,0.9617837000739414,0.967368618000909,0.030411433147548166,34.51341638186946,2858 milliseconds
24,0.960305741734961,0.9999999932095344,0.0,Inf,2808 milliseconds
25,0.999999994364957,0.9999999934019804,0.0,Inf,2783 milliseconds
26,0.9999999943688146,0.9999999934019804,0.0,Inf,2769 milliseconds
27,0.9999999943688146,0.9999999934019804,0.0,Inf,2757 milliseconds
28,0.9999999943688146,0.9999999934019804,0.0,Inf,2787 milliseconds
29,0.9999999943688146,0.9999999934019804,0.0,Inf,2751 milliseconds
30,0.9999999943688146,0.9999999934019804,0.0,Inf,2740 milliseconds
31,4.0528774607988424e9,3.8134258620560155e9,0.0,Inf,4454 milliseconds
